http://catalogue.bnf.fr/	http://gallica.bnf.fr/	images	pp	chars	OCR	topic	titre
ark:/12148/cb37562366p	ark:/12148/bpt6k62160922	high	1075	3917844	98.51		Archives législatives de la ville de Reims : collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité. Seconde partie : status. Deuxième volume : 1514-1699
ark:/12148/cb37557738j	ark:/12148/bpt6k62162950	high	1022	2257374	99.96	lettres	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome III : 1628-1630
ark:/12148/cb375624210	ark:/12148/bpt6k62163018	high	1046	3544334	98.5		Collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité
ark:/12148/cb37557738j	ark:/12148/bpt6k6216934q	high	830	1740785	99.96	lettres	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome II : 1624-1627
ark:/12148/cb37558551f	ark:/12148/bpt6k62182323	high	1014	1976848	99.02	lettres	Recueil des lettres missives de Henri IV. Supplément. Tome VIII
ark:/12148/cb37562523z	ark:/12148/bpt6k6218242g	high	604	1185119	99.96	lettres	Correspondance de Henri d'Escoubleau de Sourdis, archevêque de Bordeaux, chef des conseils du roi en l'armée navale... augmentée des ordres, instructions et lettres de Louis XIII et du cardinal de Richelieu à M. de Sourdis concernant les opérations des flottes françaises de 1636 à 1642. et accompagnée d'un texte historique, de notes et d'une introduction sur l'état de la marine en France sous le ministère du cardinal de Richelieu. Tome III
ark:/12148/cb37562441m	ark:/12148/bpt6k6218360r	high	1074	2289896	99.96		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome III : Campagnes de Flandre, d'Italie et d'Allemagne en 1703
ark:/12148/cb37565583j	ark:/12148/bpt6k6218628k	high	872	2167745	98.73	lettres	Lettres du cardinal Mazarin pendant son ministère. Tome VIII : juillet 1657 - août 1658
ark:/12148/cb37562558m	ark:/12148/bpt6k6218934b	high	918	2186358	98.5 		Chronique des ducs de Normandie. Tome III
ark:/12148/cb37557738j	ark:/12148/bpt6k6219198t	high	1022	2288338	99.62 	lettres	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome VI : 1638-1642
ark:/12148/cb37557738j	ark:/12148/bpt6k6219802b	high	1098	3044741	99.05 	lettres	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome VII : 1642 - supplément : 1608 à 1642
