http://catalogue.bnf.fr/	BENC	CTHS	http://gallica.bnf.fr/	pages	OCR	année	nº in coll.	tome	nº in série	format	sous-collection	titre	éditeur (@key)	éditeur (@ref)	auteur (@key)	auteur (@ref)	collection	exemplaire CTHS ?	regroupement (titre)	regroupement (ark, notice BnF)	code erreur	commentaire
ark:/12148/cb37557738j	49037	1111	ark:/12148/bpt6k6216934q	830	99.96	1856		2		in-4	Première série, Histoire politique	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome II : 1624-1627	Avenel, Denis-Louis-Martial (1783-1875)	http://catalogue.bnf.fr/ark:/12148/cb134984454	Richelieu, Armand Jean du Plessis (1585-1642 ; cardinal duc de) 	http://catalogue.bnf.fr/ark:/12148/cb11921894w	Collection de documents inédits sur l'histoire de France		 Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu	http://catalogue.bnf.fr/ark:/12148/cb37557738j		
ark:/12148/cb37557738j	49037	1112	ark:/12148/bpt6k62162950	1022	99.96	1858		3		in-4	Première série, Histoire politique	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome III : 1628-1630	Avenel, Denis-Louis-Martial (1783-1875)	http://catalogue.bnf.fr/ark:/12148/cb134984454	Richelieu, Armand Jean du Plessis (1585-1642 ; cardinal duc de) 	http://catalogue.bnf.fr/ark:/12148/cb11921894w	Collection de documents inédits sur l'histoire de France	oui	 Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu	http://catalogue.bnf.fr/ark:/12148/cb37557738j		
ark:/12148/cb37557738j	49037	1113				1861		4		in-4	Première série, Histoire politique	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome IV : 1630-1635	Avenel, Denis-Louis-Martial (1783-1875)	http://catalogue.bnf.fr/ark:/12148/cb134984454	Richelieu, Armand Jean du Plessis (1585-1642 ; cardinal duc de) 	http://catalogue.bnf.fr/ark:/12148/cb11921894w	Collection de documents inédits sur l'histoire de France	oui	 Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu	http://catalogue.bnf.fr/ark:/12148/cb37557738j		
ark:/12148/cb37557738j	49037	1114	ark:/12148/bpt6k6216089k	1122	99.35	1863		5		in-4	Première série, Histoire politique	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome V : 1635-1637	Avenel, Denis-Louis-Martial (1783-1875)	http://catalogue.bnf.fr/ark:/12148/cb134984454	Richelieu, Armand Jean du Plessis (1585-1642 ; cardinal duc de) 	http://catalogue.bnf.fr/ark:/12148/cb11921894w	Collection de documents inédits sur l'histoire de France	oui	 Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu	http://catalogue.bnf.fr/ark:/12148/cb37557738j		
ark:/12148/cb37557738j	49037	1115	ark:/12148/bpt6k6219198t	1022	99.62 	1867		6		in-4	Première série, Histoire politique	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome VI : 1638-1642 	Avenel, Denis-Louis-Martial (1783-1875)	http://catalogue.bnf.fr/ark:/12148/cb134984454	Richelieu, Armand Jean du Plessis (1585-1642 ; cardinal duc de) 	http://catalogue.bnf.fr/ark:/12148/cb11921894w	Collection de documents inédits sur l'histoire de France		 Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu	http://catalogue.bnf.fr/ark:/12148/cb37557738j		
ark:/12148/cb37557738j	49037	1116	ark:/12148/bpt6k6219802b	1098	99.05 	1874		7		in-4	Première série, Histoire politique	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome VII : 1642 - supplément : 1608 à 1642	Avenel, Denis-Louis-Martial (1783-1875)	http://catalogue.bnf.fr/ark:/12148/cb134984454	Richelieu, Armand Jean du Plessis (1585-1642 ; cardinal duc de) 	http://catalogue.bnf.fr/ark:/12148/cb11921894w	Collection de documents inédits sur l'histoire de France		 Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu	http://catalogue.bnf.fr/ark:/12148/cb37557738j		
ark:/12148/cb37557738j	49037	1117	ark:/12148/bpt6k6222585p	546	98.5 	1877		8		in-4	Première série, Histoire politique	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome VIII : additions, corrections, errata généraux et table générale des matières 	Avenel, Denis-Louis-Martial (1783-1875)	http://catalogue.bnf.fr/ark:/12148/cb134984454	Richelieu, Armand Jean du Plessis (1585-1642 ; cardinal duc de) 	http://catalogue.bnf.fr/ark:/12148/cb11921894w	Collection de documents inédits sur l'histoire de France	oui	 Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu	http://catalogue.bnf.fr/ark:/12148/cb37557738j		
ark:/12148/cb37562140f	66785	651	ark:/12148/bpt6k6225078r	462	98.7	1855				in-4	Première série, Histoire politique	Privilèges accordés à la Couronne de France par le Saint-Siège	Tardif, Adolphe (1824-1890) | Tardif, Jules (1827-1882)	http://catalogue.bnf.fr/ark:/12148/cb123424816 | http://catalogue.bnf.fr/ark:/12148/cb11926030n	Église catholique	http://catalogue.bnf.fr/ark:/12148/cb118691560	Collection de documents inédits sur l'histoire de France				auteur_personne-morale	
ark:/12148/cb37562915f	11825	699	ark:/12148/bpt6k6267812g	811	98.5 	1857		1	8	in-4	Première série, Histoire politique. Collection des cartulaires de France	Cartulaire de l'abbaye de Saint-Victor de Marseille. Tome I	Guérard, Benjamin (1797-1854) | Delisle, Léopold (1826-1910) | Wailly, Natalis de (1805-1886)	http://catalogue.bnf.fr/ark:/12148/cb12442951t | http://catalogue.bnf.fr/ark:/12148/cb11899357h | http://catalogue.bnf.fr/ark:/12148/cb122088974	 -	 -	Collection de documents inédits sur l'histoire de France		Cartulaire de l'abbaye de Saint-Victor de Marseille	http://catalogue.bnf.fr/ark:/12148/cb37562915f		
ark:/12148/cb37562915f	11825	631	ark:/12148/bpt6k6250523s	951	98.5 	1857		2	9	in-4	Première série, Histoire politique. Collection des cartulaires de France	Cartulaire de l'abbaye de Saint-Victor de Marseille. Tome II	Guérard, Benjamin (1797-1854) | Delisle, Léopold (1826-1910) | Wailly, Natalis de (1805-1886)	http://catalogue.bnf.fr/ark:/12148/cb12442951t | http://catalogue.bnf.fr/ark:/12148/cb11899357h | http://catalogue.bnf.fr/ark:/12148/cb122088974	 -	 -	Collection de documents inédits sur l'histoire de France		Cartulaire de l'abbaye de Saint-Victor de Marseille	http://catalogue.bnf.fr/ark:/12148/cb37562915f		
ark:/12148/cb37568578p	53975	668	ark:/12148/bpt6k54209367	592	93.62	1857		1		in-4	Première série, Histoire politique	Mémoires de Claude Haton : contenant le récit des événements accomplis de 1553 à 1582, principalement dans la Champagne et la Brie. Tome I	Bourquelot, Félix (1815-1868) 	http://catalogue.bnf.fr/ark:/12148/cb12592451n	Haton, Claude (1534-1605?)	http://catalogue.bnf.fr/ark:/12148/cb13598871z	Collection de documents inédits sur l'histoire de France		Mémoires de Claude Haton : contenant le récit des événements accomplis de 1553 à 1582, principalement dans la Champagne et la Brie	http://catalogue.bnf.fr/ark:/12148/cb37568578p		Il existe un nouvelle édition en 4 vol. Voir Collection de documents inédits sur l'histoire de France. Série in-8, nº de la série 29, 31, 33 et 40.
ark:/12148/cb37568578p	53975	668	ark:/12148/bpt6k5774371z	694	92.81	1857		2		in-4	Première série, Histoire politique	Mémoires de Claude Haton : contenant le récit des événements accomplis de 1553 à 1582, principalement dans la Champagne et la Brie. Tome II	Bourquelot, Félix (1815-1868) 	http://catalogue.bnf.fr/ark:/12148/cb12592451n	Haton, Claude (1534-1605?)	http://catalogue.bnf.fr/ark:/12148/cb13598871z	Collection de documents inédits sur l'histoire de France		Mémoires de Claude Haton : contenant le récit des événements accomplis de 1553 à 1582, principalement dans la Champagne et la Brie	http://catalogue.bnf.fr/ark:/12148/cb37568578p		Il existe un nouvelle édition en 4 vol. Voir Collection de documents inédits sur l'histoire de France. Série in-8, nº de la série 29, 31, 33 et 40.
ark:/12148/cb375673228	11764	633	ark:/12148/bpt6k28915t	708	 -	1859				in-4	Première série, Histoire politique	Cartulaire de l'abbaye de Beaulieu (en Limousin)	Deloche, Maximin (1817-1900)	http://catalogue.bnf.fr/ark:/12148/cb110559915	 -	 -	Collection de documents inédits sur l'histoire de France					
