http://catalogue.bnf.fr/	BENC	CTHS	http://gallica.bnf.fr/	pages	OCR	année	nº in coll.	tome	nº in série	format	sous-collection	titre	éditeur (@key)	éditeur (@ref)	auteur (@key)	auteur (@ref)	collection	exemplaire CTHS ?	regroupement (titre)	regroupement (ark, notice BnF)	code erreur	commentaire
ark:/12148/cb40729590f	6780					1904				atlas	 -	Recueil de documents relatifs à la convocation des Etats généraux en 1789. Atlas des bailliages ou juridictions assimilés ayant formé unité électorale en 1789	Brette, Armand (1848-1912)	http://catalogue.bnf.fr/ark:/12148/cb15297593z	 -	 -	Collection de documents inédits sur l'histoire de France				appartenance-incertaine	
ark:/12148/cb37567344k	25438	689				1841		1		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements. Tome I	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France		Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k	date-incertaine	daté d'après la notice CTHS 
ark:/12148/cb37567344k	25438	1100				1843		2		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements. Tome II	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k	date-incertaine	ni la notice BnF ni celle du CTHS donnent une date d'édition
ark:/12148/cb37567344k	25438		ark:/12148/bpt6k6225387r	701	98.94	1847		3		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements. Tome III : 1e partie. - Rapports et notices. 2e partie. - Texte des documents	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k		
ark:/12148/cb37567344k	25438		ark:/12148/bpt6k6227923h	700	99.96	1848		4		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque nationale et des archives ou des bibliothèques des départements. Tome IV : 1e partie. - Rapports et notices. 2e partie. - Texte des documents	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k		Variation dans le titre : bibliothèque royale/nationale
ark:/12148/cb37567344k	25439		ark:/12148/bpt6k6222730d	76	98.5	1874		 -		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements. Tables chronologique et alphabétique des quatre volumes publiés de 1841 à 1848	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France		Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k		
ark:/12148/cb37568674k	53693	746	ark:/12148/bpt6k62258098	860	98.5 	1873		1		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome I	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin et en français. - Réunit ""Vie de Saint Bertin, en vers"" ; Vie et office de Saint Dié"" ; ""Définitions du chapitre de Cluny en 1323"" ; ""Correspondance française du Grand Pensionnaire Jean de Witt publiée par M. François Combes,..."" ; ""Lettres de Balzac"". "
ark:/12148/cb37568680h		745	ark:/12148/bpt6k214918w	821	 -	1877		2		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome II	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin, en français et en arabe. - Réunit ""Pouillé du diocèse de Cahors"" ; ""Livre de Guillaume Le Maire"" ; ""Première vie de Saint Bertin en vers"" ; ""Lettres de Bossuet à Daniel Huet"" ; ""Traité d'Alger de 1694"" ; ""Extrait de l'administration de l'argenterie"" ; ""Menus, plaisirs et affaires de la chambre du roi en 1784""."
ark:/12148/cb37568681v	53693	743	ark:/12148/bpt6k2149198	823	94.62 	1880		3		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome III	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin, en français, en ancien français et en moyen français. Détail du contenu (d'après la notice CTHS) : ""Commerce et expéditions militaires de la France et de Venise au Moyen Âge"" ; ""Testaments enregistrés au parlement de Paris sous le règne de Charles VI"" ; ""Maximes d'Etat et fragments politiques du cardinal de Richelieu""."
ark:/12148/cb37568686k	53694	690	ark:/12148/bpt6k2149206	792	99.93	1882		4		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome IV	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin, en français, en moyen français et en italien. Détail du contenu (d'après la notice CTHS) : ""Pouillés des diocèses de Clermont et de Saint-Flour"" ; ""Obituaire de la commanderie du Temple de Reims"" ; ""Documents nouveaux servant de preuves à l'histoire de Chypre..."" ; ""Procès-verbal de visite en 1323 des fortifications des côtes de Provence "" ; ""Lettres de Louis XIV au cardinal de Bouillon"" ; ""Correspondance du P. Jean Le Vacher, consul de France à Alger sous le règne de Louis XIV ""."
ark:/12148/cb37568687x			ark:/12148/bpt6k214921k	640	92.34 	1886		5		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome V	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin, en français, en moyen français et en italien. - Réunit ""Pouillés des diocèses de Clermont et de Saint-Flour du XIVe au XVIIIe siècle"" / par Alexandre Bruel ; ""Obitutaire de la Commanderie du temple de Reims"" / par M. le Cte Edouard de Barthélemy ; ""Documents nouveaux servant de preuves à l'histoire de Chypre sous le règne des princes de la maison de Lusignan / par M. L. de Mas Latrie...."
ark:/12148/cb37563569h	46873	656	ark:/12148/bpt6k453924t	767	94.77	1835				in-4	Première série, Histoire politique	Journal des États généraux de France tenus à Tours en 1484 sous le règne de Charles VIII	Bernier, Adhelm (1806-1868) 	http://catalogue.bnf.fr/ark:/12148/cb13558094k	Masselin, Jean (1433?-1500)	http://catalogue.bnf.fr/ark:/12148/cb135957473	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb37562441m	54198	682				1835		1		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome I : Campagnes de Flandre, d'Italie et d'Allemagne en 1701	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1132	ark:/12148/bpt6k62245859	948	99.96	1836		2		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome II : Campagnes de Flandre, d'Italie et d'Allemagne en 1702	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1133	ark:/12148/bpt6k6218360r	1074	99.96	1838		3		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome III : Campagnes de Flandre, d'Italie et d'Allemagne en 1703	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1134				1838		4		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome IV : Campagnes de Flandre, d'Italie et d'Allemagne en 1704	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1135				1842		5		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome V : Campagnes de Flandre, d'Italie et d'Allemagne en 1705	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1136				1845		6		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome VI : Campagnes de Flandre, d'Italie et d'Allemagne en 1706	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1137	ark:/12148/bpt6k62243290	564	99.96	1848		7		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome VII : Campagnes de Flandre, d'Italie et d'Allemagne en 1707	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1138				1850		8		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome VIII : Campagnes de Flandre, d'Italie et d'Allemagne en 1708	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1139				1855		9		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome IX : Campagnes de Flandre, d'Italie et d'Allemagne en 1709	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1140				1859		10		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome X : Campagnes de Flandre, d'Italie et d'Allemagne en 1710	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb37562441m	54198	1141				1862		11		in-4	Première série, Histoire politique	Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome XI : Extraits de la correspondance de la Cour et des Généraux rédigés au Dépôt de la guerre, de 1763 à 1788	Vault, François-Eugène (1717-1790) | Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb135949629 | http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV : extraits de la correspondance de la Cour et des généraux	http://catalogue.bnf.fr/ark:/12148/cb37562441m		
ark:/12148/cb33481529g						1836		1		atlas	Première série, Histoire politique	Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome I : Cartes, plans et tableaux annexés au 1er et au 2e volume des Mémoires militaires relatifs à la succession d'Espagne	Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la guerre de succession d'Espagne sous Louis XIV	http://catalogue.bnf.fr/ark:/12148/cb33481529g		Notice de la BnF incomplète ou erronée. La datation et le détail des volumes a été établi à partir de la notice de la Biblioteca Cervantes http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/consulta/registro.cmd?id=16691
ark:/12148/cb33481529g						 -		2		atlas	Première série, Histoire politique	Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome II : Cartes, plans et tableaux annexés au 3e volume des Mémoires militaires relatifs à la succession d'Espagne	Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la guerre de succession d'Espagne sous Louis XIV	http://catalogue.bnf.fr/ark:/12148/cb33481529g	date-inconnue	Notice de la BnF incomplète ou erronée. La datation et le détail des volumes a été établi à partir de la notice de la Biblioteca Cervantes http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/consulta/registro.cmd?id=16691
ark:/12148/cb33481529g						 -		3		atlas	Première série, Histoire politique	Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome III : Cartes, plans et tableaux annexés au 4e volume des Mémoires militaires relatifs à la succession d'Espagne	Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la guerre de succession d'Espagne sous Louis XIV	http://catalogue.bnf.fr/ark:/12148/cb33481529g	date-inconnue	Notice de la BnF incomplète ou erronée. La datation et le détail des volumes a été établi à partir de la notice de la Biblioteca Cervantes http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/consulta/registro.cmd?id=16691
ark:/12148/cb33481529g						 -		4		atlas	Première série, Histoire politique	Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome IV : Cartes, plans et tableaux annexés au 5e volume des Memoires militaires relatifs à la succession d'Espagne	Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la guerre de succession d'Espagne sous Louis XIV	http://catalogue.bnf.fr/ark:/12148/cb33481529g	date-inconnue	Notice de la BnF incomplète ou erronée. La datation et le détail des volumes a été établi à partir de la notice de la Biblioteca Cervantes http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/consulta/registro.cmd?id=16691
ark:/12148/cb33481529g						 -		5		atlas	Première série, Histoire politique	Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome V : Cartes, plans et tableaux annexés au 6e volume des Memoires militaires relatifs à la succession d'Espagne	Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la guerre de succession d'Espagne sous Louis XIV	http://catalogue.bnf.fr/ark:/12148/cb33481529g	date-inconnue	Notice de la BnF incomplète ou erronée. La datation et le détail des volumes a été établi à partir de la notice de la Biblioteca Cervantes http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/consulta/registro.cmd?id=16691
ark:/12148/cb33481529g						 -		6		atlas	Première série, Histoire politique	Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome VI : Cartes, plans et tableaux annexés au 7e volume des Memoires militaires relatifs à la succession d'Espagne	Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la guerre de succession d'Espagne sous Louis XIV	http://catalogue.bnf.fr/ark:/12148/cb33481529g	date-inconnue	Notice de la BnF incomplète ou erronée. La datation et le détail des volumes a été établi à partir de la notice de la Biblioteca Cervantes http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/consulta/registro.cmd?id=16691
ark:/12148/cb33481529g						 -		7		atlas	Première série, Histoire politique	Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome VII : Cartes, plans et tableaux annexés au 8e et 9e volume des Memoires militaires relatifs à la succession d'Espagne	Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la guerre de succession d'Espagne sous Louis XIV	http://catalogue.bnf.fr/ark:/12148/cb33481529g	date-inconnue	Notice de la BnF incomplète ou erronée. La datation et le détail des volumes a été établi à partir de la notice de la Biblioteca Cervantes http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/consulta/registro.cmd?id=16691
ark:/12148/cb33481529g						1862		8		atlas	Première série, Histoire politique	Atlas des mémoires militaires relatifs a la succession d'Espagne sous Louis XIV. Tome VIII : Cartes, plans et tableaux annexés au 10e et 11e volume des Memoires militaires relatifs à la succession d'Espagne	Pelet, Jean-Jacques-Germain (1777-1858) 	http://catalogue.bnf.fr/ark:/12148/cb13519477h	 -	 -	Collection de documents inédits sur l'histoire de France		Mémoires militaires relatifs à la guerre de succession d'Espagne sous Louis XIV	http://catalogue.bnf.fr/ark:/12148/cb33481529g		Notice de la BnF incomplète ou erronée. La datation et le détail des volumes a été établi à partir de la notice de la Biblioteca Cervantes http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/consulta/registro.cmd?id=16691
ark:/12148/cb37557750d	57167	681	ark:/12148/bpt6k6215660v	680	99.96	1835		1		in-4	Première série, Histoire politique	Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne. Tome I	Mignet, François-Auguste Alexis (1796-1884)	http://catalogue.bnf.fr/ark:/12148/cb12362788v	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne	http://catalogue.bnf.fr/ark:/12148/cb37557750d		
ark:/12148/cb37557750d	57167	681				1835		2		in-4	Première série, Histoire politique	Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne. Tome II	Mignet, François-Auguste Alexis (1796-1884)	http://catalogue.bnf.fr/ark:/12148/cb12362788v	 -	 -	Collection de documents inédits sur l'histoire de France		Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne	http://catalogue.bnf.fr/ark:/12148/cb37557750d		
ark:/12148/cb37557750d	57167	681	ark:/12148/bpt6k6221334c	738	99.96	1842		3		in-4	Première série, Histoire politique	Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne. Tome III	Mignet, François-Auguste Alexis (1796-1884)	http://catalogue.bnf.fr/ark:/12148/cb12362788v	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne	http://catalogue.bnf.fr/ark:/12148/cb37557750d		
ark:/12148/cb37557750d	57167	681				1842		4		in-4	Première série, Histoire politique	Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne. Tome IV	Mignet, François-Auguste Alexis (1796-1884)	http://catalogue.bnf.fr/ark:/12148/cb12362788v	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne	http://catalogue.bnf.fr/ark:/12148/cb37557750d		
ark:/12148/cb37562558m	15599	709	ark:/12148/bpt6k6236326n	662	99.93 	1836		1		in-4	Première série, Histoire politique	Chronique des ducs de Normandie. Tome I	Michel, Francisque (1809-1887) 	http://catalogue.bnf.fr/ark:/12148/cb124272970	Benoît de Sainte-Maure (11..-11..?)	http://catalogue.bnf.fr/ark:/12148/cb11891248b	Collection de documents inédits sur l'histoire de France		Chronique des ducs de Normandie	http://catalogue.bnf.fr/ark:/12148/cb37562558m		
ark:/12148/cb37562558m	15599	710	ark:/12148/bpt6k6224416q	604	98.5	1838		2		in-4	Première série, Histoire politique	Chronique des ducs de Normandie. Tome II	Michel, Francisque (1809-1887) 	http://catalogue.bnf.fr/ark:/12148/cb124272970	Benoît de Sainte-Maure (11..-11..?)	http://catalogue.bnf.fr/ark:/12148/cb11891248b	Collection de documents inédits sur l'histoire de France	oui	Chronique des ducs de Normandie	http://catalogue.bnf.fr/ark:/12148/cb37562558m		
ark:/12148/cb37562558m	15599	640	ark:/12148/bpt6k6218934b	918	98.5 	1844		3		in-4	Première série, Histoire politique	Chronique des ducs de Normandie. Tome III	Michel, Francisque (1809-1887) 	http://catalogue.bnf.fr/ark:/12148/cb124272970	Benoît de Sainte-Maure (11..-11..?)	http://catalogue.bnf.fr/ark:/12148/cb11891248b	Collection de documents inédits sur l'histoire de France	oui	Chronique des ducs de Normandie	http://catalogue.bnf.fr/ark:/12148/cb37562558m		
ark:/12148/cb375674398	67080	657	ark:/12148/bpt6k62207939	276	99.96	1836				in-4	Première série, Histoire politique	Procès-verbaux des séances du Conseil de régence du roi Charles VIII pendant les mois d'août 1484 à janvier 1485	Bernier, Adhelm (1806-1868) 	http://catalogue.bnf.fr/ark:/12148/cb13558094k	France. Conseil d'Etat (13..-1791) 	http://catalogue.bnf.fr/ark:/12148/cb12495798p	Collection de documents inédits sur l'histoire de France				auteur_personne-morale	
ark:/12148/cb37563393t	100393	642	ark:/12148/bpt6k6231076z	891	98.5	1837				in-4	Première série, Histoire politique	Histoire de la croisade contre les hérétiques albigeois écrite en vers provençaux par un poëte contemporain	Fauriel, Claude (1772-1844)	http://catalogue.bnf.fr/ark:/12148/cb11902376d	 -	 -	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb375629054	62686		ark:/12148/bpt6k6430168x	663	99.8	1837					Première série, Histoire politique	Paris sous Philippe-le-Bel : d'après des documents originaux et notamment d'après un manuscrit contenant le rôle de la taille imposée sur les habitants de Paris en 1292	Géraud, Hercule (1812-1844) 	http://catalogue.bnf.fr/ark:/12148/cb122402156	 -	 -	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb37563390s			ark:/12148/bpt6k65349759	580	99.96	1837					Première série, Histoire politique	Réglemens sur les arts et métiers de Paris : rédigés au XIIIe siècle et connus sous le nom du Livre des métiers d'Étienne Boileau	Depping, Georges Bernard (1784-1853) 	http://catalogue.bnf.fr/ark:/12148/cb11899649q	Boileau, Étienne (1200?-12..) 	http://catalogue.bnf.fr/ark:/12148/cb13555883d	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb37557940n	70664	660	ark:/12148/bpt6k35002g	580	91.28	1838		1		in-4	Première série, Histoire politique	Relations des ambassadeurs vénitiens sur les affaires de France au XVIe siècle. Tome I	Tommaseo, Niccolò (1802-1874)	http://catalogue.bnf.fr/ark:/12148/cb12158049x	 -	 -	Collection de documents inédits sur l'histoire de France		Relations des ambassadeurs vénitiens sur les affaires de France au XVIe siècle	http://catalogue.bnf.fr/ark:/12148/cb37557940n		
ark:/12148/cb37557940n	70664	660	ark:/12148/bpt6k35003t	834	90.11	1838		2		in-4	Première série, Histoire politique	Relations des ambassadeurs vénitiens sur les affaires de France au XVIe siècle. Tome II	Tommaseo, Niccolò (1802-1874)	http://catalogue.bnf.fr/ark:/12148/cb12158049x	 -	 -	Collection de documents inédits sur l'histoire de France		Relations des ambassadeurs vénitiens sur les affaires de France au XVIe siècle	http://catalogue.bnf.fr/ark:/12148/cb37557940n		
ark:/12148/cb362817638	16732		ark:/12148/bpt6k6227346f	384		1839				in-4	 -	Collection de documents inédits sur l'histoire de France publiée par ordre du Roi et par les soins du ministre de l'Instruction publique. Rapports au Ministre	 -	 -	Danton, Georges-Jacques (1759-1794)	http://catalogue.bnf.fr/ark:/12148/cb12198548s	Collection de documents inédits sur l'histoire de France 					
ark:/12148/cb30136288d	16730	795				1839				in-4	 -	Instructions du Comité historique des arts et monuments. Musique	 -	 -	Bottée de Toulmon, Auguste (1797-1850)	http://catalogue.bnf.fr/ark:/12148/cb13598774q	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb37562365b	16748					1839		1 (part. 1)			Première série, Histoire politique	Archives administratives de la ville de Reims : collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité. Tome I, partie 1 : Esquisse historique, notice bibliographique	Varin, Pierre (1802-1849) 	http://catalogue.bnf.fr/ark:/12148/cb11927702k	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Archives administratives de la ville de Reims : collection de pièces inédites pouvant servir à l'histoire des institutions dans l'intérieur de la cité	http://catalogue.bnf.fr/ark:/12148/cb37562365b		
