ark Gallica	pp
http://gallica.bnf.fr/ark:/12148/bpt6k5549190v	960
http://gallica.bnf.fr/ark:/12148/bpt6k5698432r	675
http://gallica.bnf.fr/ark:/12148/bpt6k57210313	709
http://gallica.bnf.fr/ark:/12148/bpt6k57448409	1058
http://gallica.bnf.fr/ark:/12148/bpt6k5774371z	694
http://gallica.bnf.fr/ark:/12148/bpt6k5860784p	834
http://gallica.bnf.fr/ark:/12148/bpt6k6149919j	106
http://gallica.bnf.fr/ark:/12148/bpt6k6211660m	1094
http://gallica.bnf.fr/ark:/12148/bpt6k6213511d	802
http://gallica.bnf.fr/ark:/12148/bpt6k6214800z	672
http://gallica.bnf.fr/ark:/12148/bpt6k62149788	784
http://gallica.bnf.fr/ark:/12148/bpt6k62151085	798
http://gallica.bnf.fr/ark:/12148/bpt6k6215558f	832
http://gallica.bnf.fr/ark:/12148/bpt6k6215585b	580
http://gallica.bnf.fr/ark:/12148/bpt6k6215655j	856
http://gallica.bnf.fr/ark:/12148/bpt6k6215660v	680
http://gallica.bnf.fr/ark:/12148/bpt6k6215699q	616
http://gallica.bnf.fr/ark:/12148/bpt6k6215987j	828
http://gallica.bnf.fr/ark:/12148/bpt6k6215988z	858
http://gallica.bnf.fr/ark:/12148/bpt6k6215989c	1028
http://gallica.bnf.fr/ark:/12148/bpt6k62159901	1136
http://gallica.bnf.fr/ark:/12148/bpt6k6216039p	654
http://gallica.bnf.fr/ark:/12148/bpt6k6216050q	858
http://gallica.bnf.fr/ark:/12148/bpt6k6216052j	734
http://gallica.bnf.fr/ark:/12148/bpt6k6216089k	1122
http://gallica.bnf.fr/ark:/12148/bpt6k62160922	1075
http://gallica.bnf.fr/ark:/12148/bpt6k6216269h	852
http://gallica.bnf.fr/ark:/12148/bpt6k62162950	1022
http://gallica.bnf.fr/ark:/12148/bpt6k62163018	1046
http://gallica.bnf.fr/ark:/12148/bpt6k6216336g	870
http://gallica.bnf.fr/ark:/12148/bpt6k62163389	674
http://gallica.bnf.fr/ark:/12148/bpt6k6216569j	884
http://gallica.bnf.fr/ark:/12148/bpt6k6216571m	922
http://gallica.bnf.fr/ark:/12148/bpt6k6216920p	614
http://gallica.bnf.fr/ark:/12148/bpt6k6216934q	830
http://gallica.bnf.fr/ark:/12148/bpt6k6216940f	794
http://gallica.bnf.fr/ark:/12148/bpt6k62169428	728
http://gallica.bnf.fr/ark:/12148/bpt6k62182323	1014
http://gallica.bnf.fr/ark:/12148/bpt6k6218242g	604
http://gallica.bnf.fr/ark:/12148/bpt6k6218306z	692
http://gallica.bnf.fr/ark:/12148/bpt6k6218316b	628
http://gallica.bnf.fr/ark:/12148/bpt6k6218360r	1074
http://gallica.bnf.fr/ark:/12148/bpt6k62186097	582
http://gallica.bnf.fr/ark:/12148/bpt6k6218628k	872
http://gallica.bnf.fr/ark:/12148/bpt6k6218934b	918
http://gallica.bnf.fr/ark:/12148/bpt6k6219198t	1022
http://gallica.bnf.fr/ark:/12148/bpt6k6219369s	276
http://gallica.bnf.fr/ark:/12148/bpt6k6219613f	242
http://gallica.bnf.fr/ark:/12148/bpt6k6219616p	615
http://gallica.bnf.fr/ark:/12148/bpt6k6219802b	1098
http://gallica.bnf.fr/ark:/12148/bpt6k6219977d	756
http://gallica.bnf.fr/ark:/12148/bpt6k6220117v	1101
http://gallica.bnf.fr/ark:/12148/bpt6k62205444	686
http://gallica.bnf.fr/ark:/12148/bpt6k62207939	276
http://gallica.bnf.fr/ark:/12148/bpt6k6220813m	876
http://gallica.bnf.fr/ark:/12148/bpt6k6220842b	636
http://gallica.bnf.fr/ark:/12148/bpt6k62208690	678
http://gallica.bnf.fr/ark:/12148/bpt6k6221115b	868
http://gallica.bnf.fr/ark:/12148/bpt6k6221115b	868
http://gallica.bnf.fr/ark:/12148/bpt6k6221326t	690
http://gallica.bnf.fr/ark:/12148/bpt6k6221328n	620
http://gallica.bnf.fr/ark:/12148/bpt6k6221334c	738
http://gallica.bnf.fr/ark:/12148/bpt6k62213544	844
http://gallica.bnf.fr/ark:/12148/bpt6k62217192	823
http://gallica.bnf.fr/ark:/12148/bpt6k62217370	776
http://gallica.bnf.fr/ark:/12148/bpt6k6221739t	218
http://gallica.bnf.fr/ark:/12148/bpt6k6222525d	894
http://gallica.bnf.fr/ark:/12148/bpt6k6222585p	546
http://gallica.bnf.fr/ark:/12148/bpt6k6222680z	876
http://gallica.bnf.fr/ark:/12148/bpt6k6222730d	76
http://gallica.bnf.fr/ark:/12148/bpt6k62227520	817
http://gallica.bnf.fr/ark:/12148/bpt6k6224315z	798
http://gallica.bnf.fr/ark:/12148/bpt6k62243186	674
http://gallica.bnf.fr/ark:/12148/bpt6k6224319m	710
http://gallica.bnf.fr/ark:/12148/bpt6k62243290	564
http://gallica.bnf.fr/ark:/12148/bpt6k6224416q	604
http://gallica.bnf.fr/ark:/12148/bpt6k62244174	948
http://gallica.bnf.fr/ark:/12148/bpt6k6224419z	810
http://gallica.bnf.fr/ark:/12148/bpt6k62244211	1008
http://gallica.bnf.fr/ark:/12148/bpt6k62244352	844
http://gallica.bnf.fr/ark:/12148/bpt6k6224584w	614
http://gallica.bnf.fr/ark:/12148/bpt6k62245859	948
http://gallica.bnf.fr/ark:/12148/bpt6k6224586q	888
http://gallica.bnf.fr/ark:/12148/bpt6k6224590m	488
http://gallica.bnf.fr/ark:/12148/bpt6k6225078r	462
http://gallica.bnf.fr/ark:/12148/bpt6k6225106m	716
http://gallica.bnf.fr/ark:/12148/bpt6k6225149c	688
http://gallica.bnf.fr/ark:/12148/bpt6k6225205j	984
http://gallica.bnf.fr/ark:/12148/bpt6k6225206z	662
http://gallica.bnf.fr/ark:/12148/bpt6k6225214h	288
http://gallica.bnf.fr/ark:/12148/bpt6k6225387r	701
http://gallica.bnf.fr/ark:/12148/bpt6k6225404t	730
http://gallica.bnf.fr/ark:/12148/bpt6k62258098	860
http://gallica.bnf.fr/ark:/12148/bpt6k6225833x	616
http://gallica.bnf.fr/ark:/12148/bpt6k62259583	368
http://gallica.bnf.fr/ark:/12148/bpt6k6227268p	834
http://gallica.bnf.fr/ark:/12148/bpt6k6227346f	384
http://gallica.bnf.fr/ark:/12148/bpt6k6227402m	864
http://gallica.bnf.fr/ark:/12148/bpt6k6227746t	144
http://gallica.bnf.fr/ark:/12148/bpt6k62278005	1036
http://gallica.bnf.fr/ark:/12148/bpt6k6227923h	700
http://gallica.bnf.fr/ark:/12148/bpt6k6227926r	624
http://gallica.bnf.fr/ark:/12148/bpt6k6227983s	620
http://gallica.bnf.fr/ark:/12148/bpt6k6227988v	644
http://gallica.bnf.fr/ark:/12148/bpt6k6227994k	644
http://gallica.bnf.fr/ark:/12148/bpt6k6227997t	640
http://gallica.bnf.fr/ark:/12148/bpt6k6228018d	704
http://gallica.bnf.fr/ark:/12148/bpt6k62280474	492
http://gallica.bnf.fr/ark:/12148/bpt6k6228061d	638
http://gallica.bnf.fr/ark:/12148/bpt6k62284730	209
http://gallica.bnf.fr/ark:/12148/bpt6k62302644	866
http://gallica.bnf.fr/ark:/12148/bpt6k62303847	755
http://gallica.bnf.fr/ark:/12148/bpt6k6231075j	804
http://gallica.bnf.fr/ark:/12148/bpt6k6231076z	891
http://gallica.bnf.fr/ark:/12148/bpt6k62314058	632
http://gallica.bnf.fr/ark:/12148/bpt6k6233826f	746
http://gallica.bnf.fr/ark:/12148/bpt6k6236326n	662
http://gallica.bnf.fr/ark:/12148/bpt6k6238719h	632
http://gallica.bnf.fr/ark:/12148/bpt6k6241494j	1014
http://gallica.bnf.fr/ark:/12148/bpt6k62425286	816
http://gallica.bnf.fr/ark:/12148/bpt6k6242624w	712
http://gallica.bnf.fr/ark:/12148/bpt6k6243588s	796
http://gallica.bnf.fr/ark:/12148/bpt6k6243594h	337
http://gallica.bnf.fr/ark:/12148/bpt6k6243599k	774
http://gallica.bnf.fr/ark:/12148/bpt6k6243628v	710
http://gallica.bnf.fr/ark:/12148/bpt6k62439336	340
http://gallica.bnf.fr/ark:/12148/bpt6k62442956	258
http://gallica.bnf.fr/ark:/12148/bpt6k6244381h	404
http://gallica.bnf.fr/ark:/12148/bpt6k62444168	545
http://gallica.bnf.fr/ark:/12148/bpt6k6244417p	496
http://gallica.bnf.fr/ark:/12148/bpt6k6244424t	664
http://gallica.bnf.fr/ark:/12148/bpt6k6244433s	498
http://gallica.bnf.fr/ark:/12148/bpt6k6245176t	646
http://gallica.bnf.fr/ark:/12148/bpt6k62458715	796
http://gallica.bnf.fr/ark:/12148/bpt6k62459169	1000
http://gallica.bnf.fr/ark:/12148/bpt6k6245919j	360
http://gallica.bnf.fr/ark:/12148/bpt6k62467536	784
http://gallica.bnf.fr/ark:/12148/bpt6k6246912z	832
http://gallica.bnf.fr/ark:/12148/bpt6k62483417	648
http://gallica.bnf.fr/ark:/12148/bpt6k6250523s	951
http://gallica.bnf.fr/ark:/12148/bpt6k6251678d	332
http://gallica.bnf.fr/ark:/12148/bpt6k6251679t	376
http://gallica.bnf.fr/ark:/12148/bpt6k6251808f	182
http://gallica.bnf.fr/ark:/12148/bpt6k6252925m	426
http://gallica.bnf.fr/ark:/12148/bpt6k6255330s	884
http://gallica.bnf.fr/ark:/12148/bpt6k62553635	728
http://gallica.bnf.fr/ark:/12148/bpt6k6257058f	511
http://gallica.bnf.fr/ark:/12148/bpt6k62573824	314
http://gallica.bnf.fr/ark:/12148/bpt6k62574063	828
http://gallica.bnf.fr/ark:/12148/bpt6k62597557	312
http://gallica.bnf.fr/ark:/12148/bpt6k6260824h	710
http://gallica.bnf.fr/ark:/12148/bpt6k6260834w	722
http://gallica.bnf.fr/ark:/12148/bpt6k6260914g	564
http://gallica.bnf.fr/ark:/12148/bpt6k6261777m	361
http://gallica.bnf.fr/ark:/12148/bpt6k62631048	842
http://gallica.bnf.fr/ark:/12148/bpt6k62644355	422
http://gallica.bnf.fr/ark:/12148/bpt6k6264436k	344
http://gallica.bnf.fr/ark:/12148/bpt6k6266281b	360
http://gallica.bnf.fr/ark:/12148/bpt6k6267812g	811
http://gallica.bnf.fr/ark:/12148/bpt6k62692833	601
http://gallica.bnf.fr/ark:/12148/bpt6k6270958x	900
http://gallica.bnf.fr/ark:/12148/bpt6k62717433	374
http://gallica.bnf.fr/ark:/12148/bpt6k62758658	592
http://gallica.bnf.fr/ark:/12148/bpt6k6288547h	752
http://gallica.bnf.fr/ark:/12148/bpt6k6308416n	1174
http://gallica.bnf.fr/ark:/12148/bpt6k6309087n	108
http://gallica.bnf.fr/ark:/12148/bpt6k63126123	666
http://gallica.bnf.fr/ark:/12148/bpt6k6315923v	796
http://gallica.bnf.fr/ark:/12148/bpt6k6328252c	687
http://gallica.bnf.fr/ark:/12148/bpt6k63342651	916
http://gallica.bnf.fr/ark:/12148/bpt6k63359272	854
http://gallica.bnf.fr/ark:/12148/bpt6k6335933s	844
